,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
456,846.74823,54.756040000000006,1370.11938,910.3900800000001,208.61414,1153.93994,926.50006,466.21924,1118.7050800000002
457,846.93225,52.21332,1368.2179,910.4249900000001,199.04144,1145.98718,930.62177,452.67389000000003,1092.64124
458,847.0116,48.96924,1366.3737800000001,909.42719,188.82019,1138.73401,934.56256,437.245,1066.51978
459,847.36584,45.56458,1364.3114,908.67609,178.97388,1132.25085,938.4721099999999,420.66943,1041.94067
460,847.4894400000001,42.59454,1362.2793,908.2556800000001,169.03876,1125.6041300000002,942.0473,402.99585,1019.64636
461,847.71796,39.78668,1360.50427,907.1898800000001,157.7926,1118.53564,944.6691300000001,383.77045,998.6301300000001
462,848.14539,36.672,1358.5932599999999,906.48859,146.33112,1112.21069,946.3024300000001,363.9151,978.6651
463,848.3623,33.1698,1356.85034,906.47821,135.43358999999998,1107.2381599999999,947.74335,344.23438,960.81744
464,848.70239,29.322570000000002,1355.35938,906.0703699999999,124.68536,1102.76917,949.61591,324.77246,945.45471
465,849.0672,25.491999999999997,1353.76526,905.70343,114.09875,1098.8208,951.51166,305.47015,932.1812699999999
466,849.0836199999999,21.58234,1352.63904,905.71149,103.22681,1095.8930699999999,952.48822,286.07916,920.23755
467,849.2363300000001,17.40955,1351.78735,905.8975199999999,92.40131,1093.4650900000001,952.8576,266.97668,909.2824099999999
468,849.44775,13.41589,1351.01965,906.2326,82.41608000000001,1091.38794,953.7406599999999,248.63501000000002,899.72656
469,849.25189,9.60175,1350.58044,906.23615,72.70421999999999,1089.63672,954.99725,230.68512,891.39136
470,848.97974,5.93536,1349.93274,905.77045,62.98401,1087.9696,955.8756699999999,212.68866,884.10962
471,848.7887,2.48621,1349.4387199999999,905.0777,53.506040000000006,1086.6146199999998,956.3087800000001,194.68201000000002,877.72675
472,848.7196,-0.80798,1349.5625,904.3297699999999,44.168209999999995,1085.7404800000002,956.6007699999999,176.81261999999998,871.7266800000001
473,848.75989,-3.6768199999999998,1349.72974,903.5075099999999,34.91895,1085.17395,956.5822099999999,159.17889,866.25958
474,848.72827,-6.2872900000000005,1349.76965,902.73676,25.8443,1084.6937300000002,955.91571,141.94988999999998,861.5881300000001
475,848.5661,-9.14508,1349.8999,902.26141,17.18829,1084.49243,955.26532,125.33337,857.61151
476,848.4472,-12.18994,1349.94983,901.61285,8.917110000000001,1084.6472199999998,954.9129,109.56714,854.1497800000001
477,848.46912,-14.98712,1349.8375199999998,900.5965,0.9193100000000001,1084.82031,954.6898800000001,94.46613,851.4269400000001
478,848.1039999999999,-17.567320000000002,1349.92688,900.0098300000001,-6.7131300000000005,1085.1059599999999,954.89545,79.68927,849.57715
479,847.42578,-20.16095,1350.43604,899.3978900000001,-14.24414,1085.6622300000001,954.74957,65.40015,848.15594
480,846.9205300000001,-22.67004,1351.00159,897.7470099999999,-22.10376,1086.36792,953.98322,51.32544,847.2313199999999
481,846.29041,-25.33887,1351.3504599999999,895.7244300000001,-30.30505,1087.27795,953.52167,37.401790000000005,846.8381300000001
482,845.70966,-28.287409999999998,1351.88916,893.8209800000001,-38.45166,1088.25708,952.89032,24.16437,846.69885
483,845.3598599999999,-31.21185,1352.63464,891.78705,-46.62891,1089.2804,951.56354,11.50867,846.93011
484,844.69604,-34.126709999999996,1353.36377,889.2476199999999,-54.6781,1090.64038,950.4580699999999,-0.38953000000000004,847.47369
485,843.6212199999999,-37.23492,1354.1167,886.5387599999999,-62.29906999999999,1091.9116199999999,949.67438,-11.36011,848.3031
486,842.3657800000001,-40.45282,1354.74683,884.78217,-70.2384,1093.24072,948.57916,-21.921020000000002,849.42529
487,841.3680400000001,-43.44708,1355.55823,883.42804,-78.04614000000001,1095.30676,947.47687,-32.16248,850.55084
488,840.8125,-46.21674,1356.61365,882.1297599999999,-85.32141,1097.40271,946.62665,-41.73853,851.8566300000001
489,840.12994,-49.0788,1357.4946300000001,881.1986699999999,-92.70569,1099.29651,945.8289199999999,-50.64734,853.6846300000001
490,838.92206,-52.13129,1358.4718,879.7211300000001,-99.4574,1101.61072,945.1712,-59.249759999999995,855.7974199999999
491,837.74829,-55.00702,1359.75696,878.19135,-105.83081000000001,1104.1521,944.7934,-67.66968,857.9137
492,836.9292,-57.41815,1361.2125199999998,877.6611300000001,-112.34375,1106.7373,944.33905,-76.13806,860.1732199999999
493,835.70209,-59.963069999999995,1362.80042,876.8715199999999,-118.7655,1109.4171099999999,943.59784,-84.79248,862.5567
494,834.3551,-62.67938,1364.31287,875.2791699999999,-125.32178,1112.17334,942.9809,-93.25012,865.0831300000001
495,833.5011599999999,-64.89227,1365.89331,874.14813,-131.26123,1115.1637,942.6387300000001,-101.71729,867.93835
496,832.39581,-67.10051999999999,1367.5991199999999,873.27179,-137.09448,1118.06165,942.3765300000001,-110.5741,870.65625
497,831.02972,-69.6048,1369.05322,872.06287,-143.21143,1120.77795,941.91986,-119.60168,873.2052
498,829.89716,-71.74762,1370.5769,870.7569599999999,-148.72412,1123.7559800000001,941.45416,-128.64612,876.10327
